source_position,item_code,uom,display_name,category,detected_brand,detected_model,gemini_decision,agree,finish_exact,model_exact,gemini_reason,action,hint_source,hint_page,hint_image,hint_status,pilot_page
136,ELE-CAB-WIR-MKK-1.5MM-BLACK,ROLL,MKK Cable 1.5MM (7/0.39MM) Black,Electrical,MKK,7/0.39MM,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact colour/nominal size maps, but strand notation/manufacturer/insulation rating and direct asset are unresolved.",search,products_101_1000_forensic,https://buatanmalaysia.com/product/14-00001/,,PENDING,
137,GAS-STO-KHI-GS1516,SET,Khind - Infrared Gas Cooker (stainless Steel),Home Appliances,Khind,IGS1516,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Source item code GS1516 omits official I prefix; physical label confirmation needed.,search,products_101_1000_forensic,https://khind.com.my/products/khind-infrared-gas-stove-igs1516,,PENDING,https://khind.com.my/collections/gas-stoves
138,ELE-D/L-MEG-YTP38B1-10W,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/6500K,Lighting,Megaman,YTP38B1,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
139,ELE-D/L-TC-3260-32W-RND-4000K,PCS,Taicon V3 32W Adjusted LED Dl Round (TC-3260),Lighting,Taicon,TC-3260,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
140,KHI-COO-RC918T,SET,Khind - Rc 1.8L Teflon Pot (cream Magnolia),Home Appliances,Khind,RC918T,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact page/image/finish packaging not fully preserved for each row.,search,products_101_1000_forensic,https://khind.com.my/collections/khind,,PENDING,https://www.khind.com.my/image/data/theme/products/manual_instruction/Rice%20Cooker/rc9t-km130n20ricecooker-im_200621145459.pdf
141,NIP-SEA-5100-20L,DRUM,18L Nippon Vinilex 5100 Wall Sealer,Paint & Sundries,Nippon Paint,,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact colour code/volume container and image not preserved.,search,products_101_1000_forensic,https://www.nipponpaint.com.my/product/super-matex/,,PENDING,https://professional.nipponpaint.com.my/case-study/the-key-benefits-of-waterproofing
142,X-STA-PLANER-STP18-1800W,UNIT,Stanley Thickness Planer 1800W,Power Tools,Stanley,STP18-B1,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact official manufacturer page/image and package dimensions not preserved.,search,products_101_1000_forensic,https://eaglehardwarestore.com.my/product/stanley-stp18-b1-1800w-thickness-planer-stp18,,PENDING,
143,BOS-0600-910-0L0SH,UNIT,Ghp High Pressure Cleaner,Power Tools,Bosch,5-13C,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Source description says GHP high-pressure cleaner while detected model says 5-13C; exact manufacturer/model mapping unresolved.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
144,FAN-KHI-AF1801,SET,Khind 18 Auto Fan (white),Fans & Ventilation,Khind,AF1801,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact page/image/finish packaging not fully preserved for each row.,search,products_101_1000_forensic,https://khind.com.my/collections/khind,,PENDING,https://khind.com.my/collections/auto-fans
145,FAN-WAL-TAICON-TC-11006,SET,Taicon 16 Wall Fan Sirim-whi,Fans & Ventilation,Taicon,5BLADE,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
146,KHI-COO-RCJ188,SET,Khind - Jar Rice Cooker 1.8L (mint),Home Appliances,Khind,RCJ188,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact page/image/finish packaging not fully preserved for each row.,search,products_101_1000_forensic,https://khind.com.my/collections/khind,,PENDING,https://khind.com.my/collections/verz_import?page=40
147,BOS-2608-619-701,PCS,Cutting Disc Metal,Abrasives & Cutting,Bosch,105MMX1.2MMX16MM,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Dealer sells 5-piece box while source UOM is single PCS; exact source pack is unresolved.,search,products_101_1000_forensic,https://www.lkmmachinery.com.my/showproducts/productid/5974506/bosch-4quot-metal-cutting-disc-105-x-12-x-16mm-metal-cutting-disc-5pcs1-box-green/,,PENDING,
148,NIP-MAT-15245-18L,DRUM,18L Super Matex 15245 Maxtwhite,Paint & Sundries,Nippon Paint,,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact colour code/volume container and image not preserved.,search,products_101_1000_forensic,https://www.nipponpaint.com.my/product/super-matex/,,PENDING,
149,NIP-SAT-GLO-18L-145,CAN,18L Nippon Satin Glo 145 White,Paint & Sundries,Nippon Paint,,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact colour code/volume container and image not preserved.,search,products_101_1000_forensic,https://www.nipponpaint.com.my/product/super-matex/,,PENDING,https://professional.nipponpaint.com.my/case-study/the-key-benefits-of-waterproofing
150,PSN-MJ-CS100WSK,PCS,Panasonic Juicer 1.7L 400W (white),Home Appliances,Panasonic,MJ-CS100W,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Official page supports MJ-CS100WSK, 400W and compact container, but source says MJ-CS100W and 1.7L; capacity/variant mismatch.",search,products_101_1000_forensic,https://www.panasonic.com/my/consumer/kitchen-appliance/beverage-preparation/juicer-slow-juicer/mj-cs100wsk.html,,PENDING,
151,STA-IMP-DRI-STDH7213V,UNIT,Stanley Percussion Drill 800W+VP,Power Tools,Stanley,800W+VP,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Tier 2 only; source display says +VP and manufacturer page/package not corroborated.,search,products_101_1000_forensic,https://www.leedenhercules.com/showproducts/productid/5657786/cid/564115/stanley-stdh7213v-13mm-800w-percussion-drill/,https://cdn1.npcdn.net/images/ac54b406aa5532cd1b7e25698d7219dd_1736740364.webp?md5id=65f76dcdbd789fbe2623a33ab6b35da0&new_width=1000&new_height=1000&size=max&w=1772617758&from=jpeg&type=9 | https://cdn1.npcdn.net/images/61058cb54ccd9f559263690052d39366_1736740364.webp?md5id=65f76dcdbd789fbe2623a33ab6b35da0&new_width=1000&new_height=1000&size=max&w=1772617758&from=jpeg&type=1 | https://cdn1.npcdn.net/images/003403f274931ad1a3cd6aa2f940bbd2_1736740364.webp?md5id=65f76dcdbd789fbe2623a33ab6b35da0&new_width=1000&new_height=1000&size=max&w=1772617758&from=jpeg&type=1,PENDING,
152,TAP-SAN-SWP-SS-304-3936-SS,PCS,Saniware Premier Kitchen Wall Sink Tap-ss,Kitchen & Sinks,Saniware,SWP-SS-304-3936,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact page, dimensions, finish/package and image not preserved.",search,products_101_1000_forensic,https://saniware.com/product-category/faucet/saniware-premier/,,PENDING,
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K,Lighting,Megaman,A70,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Lighting,Megaman,YTP38B1,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
155,FAN-CEI-DEKA-CF5DC56MB,UNIT,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,Fans & Ventilation,Deka,,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. NOT_PRESERVED,search,products_101_1000_forensic,https://deka.my/f5-dc-pro/,https://deka.my/wp-content/uploads/2025/07/F5-DC-PRO-MB-Jpg.jpg,PENDING,
156,TAP-SAN-SWP-B-304-3915,PCS,Saniware Premier Kitchen Wall Sink Tap-blk,Kitchen & Sinks,Saniware,SWP-B-304-3915,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact page, dimensions, finish/package and image not preserved.",search,products_101_1000_forensic,https://saniware.com/product-category/faucet/saniware-premier/,,PENDING,
157,FAN-CEI-DEKA-CGNL54OAK12,UNIT,Deka Ceiling Fan Geno Oak,Fans & Ventilation,Deka,54LED,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Source detected model contains 54LED while official GENO 54 page is explicitly LED Power N/A; exact LED/non-LED variant unresolved.,search,products_101_1000_forensic,https://deka.my/geno-54/,https://deka.my/wp-content/uploads/2025/07/GENO-54-OAK-Jpg.jpg,PENDING,
158,JOV-WAT-FIL-JWP20,PCS,Joven Water Filter,Pumps & Water,Joven,JWP20,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact official image URL not exposed.,search,products_101_1000_forensic,https://www.joven-electric.com/my/jwp20-water-filter.html,,PENDING,
159,STA-PRE-WAS-BEPW1750,UNIT,Black+decker Pressure Washer 120BAR,Power Tools,Stanley,120BAR,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Source row lacks B1/IN/XD suffix; exact package and image unresolved.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
160,BOS-AHI4-4PC-R,UNIT,Adelino S/steel Multi Stage Centrifugal Pump (1.0HP),Pumps & Water,Bosch,1.0HP,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact horsepower/model curves, self-priming versus non-self-priming configuration, package and image unresolved.",search,products_101_1000_forensic,http://adelinopump.com/fr-fr/surface_pump/394.html,,PENDING,
161,BOS-AJS37PC,UNIT,Adelino Automatic Self-priming Jet Pump With Pc (0.5HP),Pumps & Water,Bosch,0.5HP,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact horsepower/model curves, self-priming versus non-self-priming configuration, package and image unresolved.",search,products_101_1000_forensic,http://adelinopump.com/fr-fr/surface_pump/394.html,,PENDING,
162,ELE-D/L-TC-2260-22W,PCS,Taicon 24W Adjusted LED Dl Rnd,Lighting,Taicon,6000K,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
163,"EXH-FAN-KHI-12""-WHI-EF1201",SET,Khind 12 Exhaust Fan (off White),Fans & Ventilation,Khind,EF1201,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact store asset URL not exposed; source finish is off-white versus official white.,search,products_101_1000_forensic,https://khind.com.my/products/khind-exhaust-fan-ef1201,,PENDING,
164,BOS-0601-9K3-1L2,UNIT,Gsb Batt. Impact Drill,Power Tools,Bosch,185-LI,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Official page exposes L2 variant but direct image asset was not preserved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/products/gsb-185-li-06019K31L1,,PENDING,
165,BOS-2608-522-405,PCS,Impact Bit PH2 X 65MM,Power Tools,Bosch,PH2,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact lengths/part numbers are proven, but Malaysia-specific asset/packaging and rights are not preserved.",search,products_101_1000_forensic,https://www.bosch-pt.com.sg/sg/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,,PENDING,
166,ELE-CAB-WIR-MKK-2.5MM-YEL,ROLL,MKK Cable 2.5MM (7/0.49MM) Yellow,Electrical,MKK,7/0.49MM,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact colour/nominal size maps, but strand notation/manufacturer/insulation rating and direct asset are unresolved.",search,products_101_1000_forensic,https://buatanmalaysia.com/product/14-00001/,,PENDING,
167,ELE-D/L-MEG-YTP45B1-15W-3000K,PCS,Megaman LED Stick Bulb Plc YTP45B1 15W/3000K,Lighting,Megaman,YTP45B1,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K,Lighting,Megaman,E27,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
169,STA-PRE-WAS-HD4,UNIT,Karcher Classic High Pressure Washer,Power Tools,Stanley,HD4/10X,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact technical table and direct image not preserved.,search,products_101_1000_forensic,https://www.karcher.com/my/en/professional/products/hd-4-10-x-classic-kap-p15209760,,PENDING,
170,STA-SAW-SCR121S2K,UNIT,Stanley 12V Reciprocating Saw,Power Tools,Stanley,SCR121S2K,pending,yes,yes,yes,Fail-closed: evidence insufficient for VERIFIED. Exact suffix/package/bundle not proven; no family image substituted.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
171,FAN-TAB-KHI-TF1210SE-LAV,SET,Khind - 12 Table Fan (sweet Lavender),Fans & Ventilation,Khind,TF1210SE,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact page/image/finish packaging not fully preserved for each row.,search,products_101_1000_forensic,https://khind.com.my/collections/khind,,PENDING,https://khind.com.my/collections/table-fans
172,BOS-0611-321-0L0,UNIT,Gsh 5CE Demolition Hammer,Power Tools,Bosch,5CE,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact direct image URL not preserved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/products/gsh-5-ce-06113210L0,,PENDING,
173,ELE-CAB-WIR-MKK-2.5MM-GRE,ROLL,MKK Cable 2.5MM (7/0.49MM) Green,Electrical,MKK,7/0.49MM,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact colour/nominal size maps, but strand notation/manufacturer/insulation rating and direct asset are unresolved.",search,products_101_1000_forensic,https://buatanmalaysia.com/product/14-00001/,,PENDING,
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K,Lighting,Megaman,E27,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
175,FAN-WAL-TAICON-TC-11007,SET,Taicon 16 Wall Fan Sirim-blk,Fans & Ventilation,Taicon,5BLADE,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
176,BOS-0601-1A2-1L0,UNIT,Gsb Impact Drill,Power Tools,Bosch,20-2RE,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Current official code formatting and source code need reconciliation; direct image not preserved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/impact-drills-213950-ocs-c/,,PENDING,
177,BOS-0601-9N9-0L0C1,SET,Gws + Gds + Gsb Plus Combo Set,Power Tools,Bosch,18V-8,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Source bundles do not match current official six-kit list; exact contents/suffixes unresolved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/combo-kits-3038553-ocs-c/,,PENDING,
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/3000K,Lighting,Megaman,YTP38B1,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
179,ELE-D/L-TC-3260-32W-RND,PCS,Taicon 32W Adjusted LED Round (TC-3260),Lighting,Taicon,TC-3260,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
180,BOS-AHI2-4PC,UNIT,Adelino S/steel Multi Stage Centrifugal Pump (0.75HP),Pumps & Water,Bosch,0.75HP,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact horsepower/model curves, self-priming versus non-self-priming configuration, package and image unresolved.",search,products_101_1000_forensic,http://adelinopump.com/fr-fr/surface_pump/394.html,,PENDING,
181,KHI-FRY-ARF35,SET,Khind Air Fryer (mint),Home Appliances,Khind,ARF35,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact page/image/finish packaging not fully preserved for each row.,search,products_101_1000_forensic,https://khind.com.my/collections/khind,,PENDING,
182,STA-DRI-SCD10D2K,UNIT,Stanley 12V Tower Up Drill/driver 2.0AH,Power Tools,Stanley,SCD10D2K,pending,yes,yes,yes,Fail-closed: evidence insufficient for VERIFIED. Exact suffix/package/bundle not proven; no family image substituted.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
183,BOS-0601-9F7-0L0,UNIT,Gsr Battery Screwdriver,Hand Tools,Bosch,120-LI,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. No exact authoritative source or asset was preserved in this shard pass.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
184,BOS-0611-924-0L1,UNIT,Gbh Batt. Rotary Hammer,Power Tools,Bosch,185-LI,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact direct image URL not preserved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/products/gbh-185-li-06119240L1,,PENDING,
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Lighting,Megaman,A60,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Lighting,Megaman,A70,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
187,ELE-D/L-TC-2261-32W-SQ,PCS,Taicon 32W Adjusted LED Square (TC-2261),Lighting,Taicon,TC-2261,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
188,KHI-COO-RC828N,SET,Khind Rice Cooker 2.8L,Home Appliances,Khind,RC828N,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact page/image/finish packaging not fully preserved for each row.,search,products_101_1000_forensic,https://khind.com.my/collections/khind,,PENDING,
189,BOS-0601-9K0-0L0,UNITS,Gds Batt. Impact Wrench 18V-400,Power Tools,Bosch,18V-400,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact direct image URL not preserved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/products/gds-18v-400-06019K00L0,,PENDING,
190,ELE-D/L-MEG-YTP45B1-15W-4000K,PCS,Megaman LED Stick Bulb Plc YTP45B1 15W/4000K,Lighting,Megaman,YTP45B1,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
191,"EXH-FAN-KHI-08""-WHI-EF8001",SET,Khind 8 Exhaust Fan (off White),Fans & Ventilation,Khind,EF8001,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact store asset URL not exposed; source finish is off-white versus official white.,search,products_101_1000_forensic,https://khind.com.my/products/khind-exhaust-fan-ef8001,,PENDING,
192,GAS-COO-TC-2288-PGC,SET,Taicon Portable Gas Cooker,Home Appliances,Taicon,TC-2288PGC,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
193,BOS-0601-228-1L2,UNIT,Gsb 16RE Impact Drill (blow Mode Set),Power Tools,Bosch,16RE,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact direct image URL not preserved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/products/gsb-16-re-06012281L2,,PENDING,
194,BOS-0601-9G8-1L7,UNIT,Gsb 121B Batt. Impact Drill (1 Batt.),Power Tools,Bosch,121B,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. No exact authoritative source or asset was preserved in this shard pass.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
195,BOS-2608-522-406,PCS,Impact Bit PH2 X 110MM,Power Tools,Bosch,PH2,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact lengths/part numbers are proven, but Malaysia-specific asset/packaging and rights are not preserved.",search,products_101_1000_forensic,https://www.bosch-pt.com.sg/sg/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,,PENDING,
196,BOS-2608-522-407,PCS,Impact Bit PH2 X 150MM,Power Tools,Bosch,PH2,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact lengths/part numbers are proven, but Malaysia-specific asset/packaging and rights are not preserved.",search,products_101_1000_forensic,https://www.bosch-pt.com.sg/sg/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,,PENDING,
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,Megaman A65 E27 LED Bulb,Lighting,Megaman,A65,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
198,BOS-0601-9G8-0L4,UNIT,Gsr 121B Batt. Screwdriver (1 Batt.),Hand Tools,Bosch,121B,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. No exact authoritative source or asset was preserved in this shard pass.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
199,ELE-BUL-B22-3W-YEL,PCS,Taicon B22 3W LED Color Bulb - Yellow,Lighting,Taicon,B22,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
200,CHA-SAW-STIHL-MS172,UNIT,Stihl Chainsaw 16 Stihl Chain & Guide BAR,"Rope, Chain & Netting",STIHL,MS172,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. No exact authoritative source or asset was preserved in this shard pass.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Lighting,Megaman,A70,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, variant, package and image were not preserved; no family or generic asset substituted.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
202,KET-PSN-NC-GK1WSK,PCS,Panasonic 1.7L Plastick Kettle,Home Appliances,Panasonic,NC-GK1,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Source says Plastick Kettle and NC-GK1WSK; official page family suffix and exact source SKU/package image need reconciliation.,search,products_101_1000_forensic,https://www.panasonic.com/my/consumer/kitchen-appliance/kettle/nc-gk1w.html,,PENDING,
203,RUB-TRT02-SA302,UNIT,Rubine Double Spout Wall Mounted S'tap,Home Appliances,Rubine,RT-SA-302/7C,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Official Rubine URL returned no extractable exact page; exact dimensions, finish and image not preserved.",search,products_101_1000_forensic,https://www.rubine.com.my/product/RT-SA-302-7C,,PENDING,
204,STA-PRE-WAS-BEPW1600L,UNIT,Black+decker Pressure Washer L 110 BAR,Power Tools,Stanley,BEPW1600L,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Official Malaysia product asset not preserved; dealer dimensions differ and exact package/image rights unresolved.,search,products_101_1000_forensic,https://www.toolservicenet.com/i/BLACK_DECKER/GLOBALBOM/B1/BEPW1600/1/Instruction_Manual/EN/NA089982_BEPW1600_BEPW1600L_BEPW1750_BEPW1800T_BEPW2200_IN.pdf,,PENDING,
205,"EXH-FAN-KHI-10""-WHI-EF1001",SET,Khind 10 Exhaust Fan (off White),Fans & Ventilation,Khind,EF1001,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Source finish says off-white while official page says white; exact image not preserved.,search,products_101_1000_forensic,https://khind.com.my/products/khind-exhaust-fan-ef1001,,PENDING,
206,NIP-PHG-1L-A,CAN,1L Platone High Gloss Accent Base,Paint & Sundries,Nippon Paint,,pending,yes,no,yes,Fail-closed: evidence insufficient for VERIFIED. Exact 1L/5L packaging and Accent Base colour/formula are not individually preserved; family can image cannot stand for exact SKU.,search,products_101_1000_forensic,https://www.nipponpaint.com.my/product/platone-high-gloss/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/platone.webp,PENDING,
207,NIP-PHG-5L-A,CAN,5L Platone High Gloss Accent Base,Paint & Sundries,Nippon Paint,,pending,yes,no,yes,Fail-closed: evidence insufficient for VERIFIED. Exact 1L/5L packaging and Accent Base colour/formula are not individually preserved; family can image cannot stand for exact SKU.,search,products_101_1000_forensic,https://www.nipponpaint.com.my/product/platone-high-gloss/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/platone.webp,PENDING,
208,BOS-0601-068-000,UNIT,Gol 26D Optical Leveller,Power Tools,Bosch,26D,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact product image URL not preserved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/products/gol-26-d-0601068000,,PENDING,
209,CHA-SAW-STIHL-MS162,UNIT,Stihl Chainsaw 14 Stihl Chain & Guide BAR,"Rope, Chain & Netting",STIHL,MS162,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact 14-inch Malaysia/regional package not proven; adjacent 12-inch and 16-inch variants cannot substitute.,search,products_101_1000_forensic,https://www.stihlusa.com/en/p/chainsaws-ms-162-gasoline-chainsaw-1027385,,PENDING,
210,KHI-COO-RC806N,SET,Khind 0.6L Rice Cooker (light Winter GREY)-RC806N,Home Appliances,Khind,RC806N,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact Light Winter Grey image/finish mapping not preserved.,search,products_101_1000_forensic,https://khind.com.my/products/khindkitchen-appliancesrice-cooker,,PENDING,
211,KHI-TOA-BT808,SET,Khind Bread Toaster (mint),Home Appliances,Khind,2SLICES,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact official image URL not preserved.,search,products_101_1000_forensic,https://khind.com.my/products/khind-2-slices-bread-toaster-with-anti-dust-cover-bt808,,PENDING,
